Rank,Country,Gold_Medal,Silver_Medal,Bronze_Medal,Total_Medal,Rank_by_Total,url,Continent
1,United States of America,39,41,33,113,1,by-sport-united-states.htm,North America
2,People's Republic of China,38,32,18,88,2,by-sport-china.htm,Asia
3,Japan,27,14,17,58,5,by-sport-japan.htm,Asia
4,Great Britain,22,21,22,65,4,by-sport-great-britain.htm,Europe
5,Russia,20,28,23,71,3,by-sport-roc.htm,Asia
6,Australia,17,7,22,46,6,by-sport-australia.htm,Oceania
7,Netherlands,10,12,14,36,9,by-sport-netherlands.htm,Europe
8,France,10,12,11,33,10,by-sport-france.htm,Europe
9,Germany,10,11,16,37,8,by-sport-germany.htm,Europe
10,Italy,10,10,20,40,7,by-sport-italy.htm,Europe
11,Canada,7,6,11,24,11,by-sport-canada.htm,North America
12,Brazil,7,6,8,21,12,by-sport-brazil.htm,South America
13,New Zealand,7,6,7,20,13,by-sport-new-zealand.htm,Oceania
14,Cuba,7,3,5,15,18,by-sport-cuba.htm,North America
15,Hungary,6,7,7,20,13,by-sport-hungary.htm,Europe
16,Republic of Korea,6,4,10,20,13,by-sport-republic-of-korea.htm,Asia
17,Poland,4,5,5,14,19,by-sport-poland.htm,Europe
18,Czech Republic,4,4,3,11,23,by-sport-czech-republic.htm,Europe
19,Kenya,4,4,2,10,25,by-sport-kenya.htm,Africa
20,Norway,4,2,2,8,29,by-sport-norway.htm,Europe
21,Jamaica,4,1,4,9,26,by-sport-jamaica.htm,North America
22,Spain,3,8,6,17,17,by-sport-spain.htm,Europe
23,Sweden,3,6,0,9,26,by-sport-sweden.htm,Europe
24,Switzerland,3,4,6,13,20,by-sport-switzerland.htm,Europe
25,Denmark,3,4,4,11,23,by-sport-denmark.htm,Europe
26,Croatia,3,3,2,8,29,by-sport-croatia.htm,Europe
27,Islamic Republic of Iran,3,2,2,7,33,by-sport-islamic-rep-of-iran.htm,Asia
28,Serbia,3,1,5,9,26,by-sport-serbia.htm,Europe
29,Belgium,3,1,3,7,33,by-sport-belgium.htm,Europe
30,Bulgaria,3,1,2,6,39,by-sport-bulgaria.htm,Europe
31,Slovenia,3,1,1,5,42,by-sport-slovenia.htm,Europe
32,Uzbekistan,3,0,2,5,42,by-sport-uzbekistan.htm,Asia
33,Georgia,2,5,1,8,29,by-sport-georgia.htm,Asia
34,Chinese Taipei,2,4,6,12,22,by-sport-chinese-taipei.htm,Asia
35,Turkey,2,2,9,13,20,by-sport-turkey.htm,Asia
36,Greece,2,1,1,4,47,by-sport-greece.htm,Europe
36,Uganda,2,1,1,4,47,by-sport-uganda.htm,Africa
38,Ecuador,2,1,0,3,60,by-sport-ecuador.htm,South America
39,Ireland,2,0,2,4,47,by-sport-ireland.htm,Europe
39,Israel,2,0,2,4,47,by-sport-israel.htm,Asia
41,Qatar,2,0,1,3,60,by-sport-qatar.htm,Asia
42,Bahamas,2,0,0,2,66,by-sport-bahamas.htm,North America
42,Kosovo,2,0,0,2,66,by-sport-kosovo.htm,Europe
44,Ukraine,1,6,12,19,16,by-sport-ukraine.htm,Europe
45,Belarus,1,3,3,7,33,by-sport-belarus.htm,Europe
46,Romania,1,3,0,4,47,by-sport-romania.htm,Europe
46,Venezuela,1,3,0,4,47,by-sport-venezuela.htm,South America
48,India,1,2,4,7,33,by-sport-india.htm,Asia
49,"Hong Kong, China",1,2,3,6,39,by-sport-hong-kong-china.htm,Asia
50,Philippines,1,2,1,4,47,by-sport-philippines.htm,Asia
50,Slovakia,1,2,1,4,47,by-sport-slovakia.htm,Europe
52,South Africa,1,2,0,3,60,by-sport-south-africa.htm,Africa
53,Austria,1,1,5,7,33,by-sport-austria.htm,Europe
54,Egypt,1,1,4,6,39,by-sport-egypt.htm,Africa
55,Indonesia,1,1,3,5,42,by-sport-indonesia.htm,Asia
56,Ethiopia,1,1,2,4,47,by-sport-ethiopia.htm,Africa
56,Portugal,1,1,2,4,47,by-sport-portugal.htm,Europe
58,Tunisia,1,1,0,2,66,by-sport-tunisia.htm,Africa
59,Estonia,1,0,1,2,66,by-sport-estonia.htm,Europe
59,Fiji,1,0,1,2,66,by-sport-fiji.htm,Oceania
59,Latvia,1,0,1,2,66,by-sport-latvia.htm,Europe
59,Thailand,1,0,1,2,66,by-sport-thailand.htm,Asia
63,Bermuda,1,0,0,1,77,by-sport-bermuda.htm,North America
63,Morocco,1,0,0,1,77,by-sport-morocco.htm,Africa
63,Puerto Rico,1,0,0,1,77,by-sport-puerto-rico.htm,North America
66,Colombia,0,4,1,5,42,by-sport-colombia.htm,South America
67,Azerbaijan,0,3,4,7,33,by-sport-azerbaijan.htm,Asia
68,Dominican Republic,0,3,2,5,42,by-sport-dominican-rep-.htm,North America
69,Armenia,0,2,2,4,47,by-sport-armenia.htm,Asia
70,Kyrgyzstan,0,2,1,3,60,by-sport-kyrgyzstan.htm,Asia
71,Mongolia,0,1,3,4,47,by-sport-mongolia.htm,Asia
72,Argentina,0,1,2,3,60,by-sport-argentina.htm,South America
72,San Marino,0,1,2,3,60,by-sport-san-marino.htm,Europe
74,Jordan,0,1,1,2,66,by-sport-jordan.htm,Asia
74,Malaysia,0,1,1,2,66,by-sport-malaysia.htm,Asia
74,Nigeria,0,1,1,2,66,by-sport-nigeria.htm,Africa
77,Bahrain,0,1,0,1,77,by-sport-bahrain.htm,Asia
77,Saudi Arabia,0,1,0,1,77,by-sport-saudi-arabia.htm,Asia
77,Lithuania,0,1,0,1,77,by-sport-lithuania.htm,Europe
77,North Macedonia,0,1,0,1,77,by-sport-north-macedonia.htm,Europe
77,Namibia,0,1,0,1,77,by-sport-namibia.htm,Africa
77,Turkmenistan,0,1,0,1,77,by-sport-turkmenistan.htm,Asia
83,Kazakhstan,0,0,8,8,29,by-sport-kazakhstan.htm,Asia
84,Mexico,0,0,4,4,47,by-sport-mexico.htm,North America
85,Finland,0,0,2,2,66,by-sport-finland.htm,Europe
86,Botswana,0,0,1,1,77,by-sport-botswana.htm,Africa
86,Burkina Faso,0,0,1,1,77,by-sport-burkina-faso.htm,Africa
86,C̫te d'Ivoire,0,0,1,1,77,by-sport-cote-d-ivoire.htm,Africa
86,Ghana,0,0,1,1,77,by-sport-ghana.htm,Africa
86,Grenada,0,0,1,1,77,by-sport-grenada.htm,North America
86,Kuwait,0,0,1,1,77,by-sport-kuwait.htm,Asia
86,Republic of Moldova,0,0,1,1,77,by-sport-rep-of-moldova.htm,Europe
86,Syrian Arab Republic,0,0,1,1,77,by-sport-syrian-arab-rep-.htm,Asia
